"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zwift - Pacer Group Ride: Flat Route in Watopia with Maria","Bike","","","","2024-12-18","","35768.390625","169","352","619.776","","1.0183333158493","9.75599956512451","","77","","127","144","","","0.675959871516607","46.21","61","0","0","0","0","0","0","","","","17","33","9","2","0","0","","","","","",""
"Zwift - Champs-Élysées Run in Paris","Run","","","","2024-12-18","","5525.16015625","0","0","","","0.498333334922791","3.0789999961853","","158","","135","159","","","0.727491676787664","37.55","35","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-18","","1450","","","","","0.397538333468967","1.00276625172891","","56","","","","","","1.00304792375734","40.12","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-20","","2225","","","","","0.689136108027564","0.89","","56","","","","","","0.887887012264239","48.24","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Miguel","Bike","","","","2024-12-20","","32877.9609375","128","352","465.998","","1.00416672229767","9.0939998626709","","73","","120","138","","","0.516407326247703","26.59","60","0","0","0","0","0","0","","","","51","7","2","0","0","0","","","","","",""
"Running","Run","","","","2024-12-20","","1832.18994140625","","","","","0.694324731826782","0.732999980449677","","67","","100","125","","","0.1716697161512","2.25","42","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2024-12-26","","7278.2998046875","","","","","2.75609445571899","0.734000027179718","","60","","95","139","","","0.206160597262206","13.32","165","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-27","","1800","","","","","0.512630278799269","0.969827586206897","","55","","","","","","0.96560819848456","46.15","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Miguel","Bike","","","","2024-12-27","","16339.8203125","131","210","238.02","","0.503333330154419","9.01700019836426","","75","","127","140","","","0.517560495834234","13.32","30","0","0","0","0","0","0","","","","27","3","0","0","0","0","","","","","",""
"Lap Swimming","Swim","","","","2024-12-28","","1550","","","","","0.451907498836517","0.946854001221747","","57","","","","","","0.943224002915253","37.92","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Volcano Climb in Watopia","Bike","","","","2024-12-29","","28620.609375","131","576","476.656","","1.00333333015442","7.9229998588562","","73","","139","191","","","0.777358139575314","60.41","44","10","2","2","2","1","0","","","","49","3","1","2","2","5","","","","","",""
"Running","Run","","","","2024-12-29","","4771.5","","","","","0.505419433116913","2.62199997901917","","153","","147","160","","","0.62056300425605","21.19","25","6","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2024-12-30","","0","","","","","0.541526675224304","0","","","","123","152","","","0.606109653276564","21.72","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2024-12-30","","1900","","","","","0.556853054894341","0.941526263627354","","54","","","","","","0.938308581424844","46","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Miguel","Bike","","","","2024-12-30","","33073.80859375","134","242","499.038","","1.03055560588837","8.91399955749512","","74","","122","138","","","0.539098261503291","29.67","62","0","0","0","0","0","0","","","","50","11","1","0","0","0","","","","","",""
"Running","Run","","","","2025-01-01","","3196.80004882813","","","","","0.333458632230759","2.66300010681152","","155","","149","171","","","0.541334532374976","10.54","10","10","1","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-01-01","","5008.64990234375","","","","","0.3454549908638","4.02699995040894","","165","","186","193","","","0.971164525458725","35.13","0","0","0","6","13","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-01-01","","1283.08996582031","","","","","0.325876116752625","1.09399998188019","","73","","124","152","","","0.249275284184821","2.18","20","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-01-02","","1900","","","","","0.624995836151971","0.837004405286344","","53","","","","","","0.836005569600229","36.52","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-01-02","","0","","","","","0.383164167404175","0","","","","96","117","","","0.554290231257676","12.73","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-01-02","","3131.34008789063","","","","","1.18725478649139","0.732999980449677","","62","","103","142","","","0.195338125031903","5.04","71","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Tempus Fugit in Watopia","Bike","","","","2025-01-03","","31216.19921875","133","470","483.586","","1.00277781486511","8.64700031280518","","77","","130","180","","","0.724436652743024","52.21","49","4","2","5","0","0","0","","","","48","0","0","3","7","2","","","","","",""
"Running","Run","","","","2025-01-04","","6005.72021484375","","","","","0.607517242431641","2.74600005149841","","161","","146","161","","","0.639885792843056","27.21","32","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Pacer Group Ride: Greater London Flat in London with Maria","Bike","","","","2025-01-05","","36889.0703125","166","338","605.738","","1.0097222328186","10.1479997634888","","79","","132","148","","","0.651440547061564","42.51","61","0","0","0","0","0","0","","","","15","42","4","0","0","0","","","","","",""
"20 min Threshold","Run","","0.676388888888889","9186","2025-01-06","","8977.23046875","0","0","","","0.795555531978607","3.1340000629425","","160","","153","186","","","0.745623163105803","49.1","23","9","1","15","0","0","0","","","","","","","","","","","","","","0",""
"Zwift - Group Ride: Standard | Stage 1 | Tour de Zwift on The Muckle Yin in Scotland","Bike","","1","","2025-01-06","","31730.009765625","164","268","602.134","","1.01666665077209","8.66899967193604","","78","","142","154","","","0.654252332960124","43.13","54","8","0","0","0","0","0","","","","17","39","7","0","0","0","","","","","",""
"Strength","Strength","","0.5","","2025-01-07","","0","","","","","0.486172795295715","0","","","","114","139","","","0.602598847616251","19.2","","","","","","","","","","","","","","","","","","","","","",""
"Technique","Swim","","","1800","2025-01-07","","1800","","","","","0.527317779858907","0.939457202505219","","52","","","","","","0.938712895537954","43.62","","","","","","","","","","","","","","","","","","","","","",""
"Really Easy - Miguel Pace Partner","Bike","","1","","2025-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold / V02","Swim","","","1800","2025-01-08","","1500","","","","","0.436559997664558","0.954431621989387","","57","","","","","","0.881894818718194","29.94","","","","","","","","","","","","","","","","","","","","","",""
"Threshold 4 * 8","Bike","","1.25","","2025-01-08","","38895.78125","193","428","873.154","","1.25388884544373","8.61600017547607","","86","","145","172","","","0.849862060275904","89.98","39","20","16","2","0","0","0","","","","36","3","2","22","10","1","","","","","",""
"6 * 1k "" Threshold Pace '2min","Run","","0.948333333333333","12258","2025-01-09","","10449.669921875","0","0","","","1.02444446086884","2.83299994468689","","158","","143","178","","","0.672512004304768","75.26","63","11","11","4","0","0","0","","","","","","","","","","","","","","",""
